[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 195.8 GB/s  (model resident; phases are priced against THIS)

wall: 3017.06 ms for 24 steps = 125.71 ms/tok = 7.95 tok/s
roofline at 195.8 GB/s with B_tok 19.761 G: 9.91 tok/s  ->  we are at 80%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               60.50    2.0%     1080      0.035     14.1      7%
[dprof] norm:attn                  7.30    0.2%     1080          -        -       -
[dprof] ATTENTION               1743.60   58.0%     1080     11.950    164.5     84%
[dprof] hc:post_attn               5.42    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                58.90    2.0%     1080      0.035     14.5      7%
[dprof] norm:ffn                   8.97    0.3%     1080          -        -       -
[dprof] FFN                      962.51   32.0%     1080      6.307    157.3     80%
[dprof] hc:post_ffn                5.48    0.2%     1080          -        -       -
[dprof] embed                      0.16    0.0%       24          -        -       -
[dprof] head:mean                  0.33    0.0%       24          -        -       -
[dprof] lm_head                  153.16    5.1%       24      1.269    198.9    102%
[dprof]   attn:kda              1323.77   44.0%      816      9.366    169.8     87%
[dprof]   attn:mla               417.32   13.9%      264      2.584    148.6     76%
[dprof]     kda:qkv+conv         817.01   27.2%      816      6.850    201.2    103%
[dprof]     kda:gates            169.62    5.6%      816      0.500     70.7     36%
[dprof]     kda:norm_qk            4.32    0.1%      816          -        -       -
[dprof]     kda:recurrence        37.93    1.3%      816      0.305    193.0     99%
[dprof]     kda:out_norm           5.22    0.2%      816          -        -       -
[dprof]     kda:o_proj           282.28    9.4%      816      2.283    194.1     99%
[dprof]     mla:indexer            8.32    0.3%      264          -        -       -
[dprof]     mla:absorb_q          36.19    1.2%      264          -        -       -
[dprof]     mla:sdpa              14.78    0.5%      264          -        -       -
[dprof]     mla:o_proj           233.97    7.8%      264          -        -       -
[dprof]   ffn:moe                845.72   28.1%     1008      5.401    153.3     78%
[dprof]   ffn:dense              114.27    3.8%       72      0.906    190.3     97%
[dprof]     moe:router            30.18    1.0%     1008      0.050     39.8     20%
[dprof]     moe:w13+act          534.82   17.8%     1008      3.568    160.1     82%
[dprof]     moe:w2+combine       275.73    9.2%     1008      1.783    155.2     79%
[dprof] TOTAL                   3006.34  (125.26 ms/step, 7.98 tok/s)
